OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256237522,0,0
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256241456,4017,10
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256243724,6285,-1
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256265199,27760,-46
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256266212,28773,-53
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256267413,29974,-61
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256269646,32206,-68
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256270998,33559,-59
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256272016,34573,-53
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256274280,36840,-61
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256275297,37858,-68
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256278529,41089,-62
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256280494,43055,-56
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256281495,44056,-49
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256285395,47955,-41
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256291549,54109,-49
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256292897,55457,-55
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256298479,61040,-61
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256302546,65107,-70
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256303662,66222,-62
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256304764,67323,-47
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256305778,68338,-40
Kqbm2YkMP0Q,B888D9C6-F787-6768-87C5-AF2C5E2D3056-1,1E6C8152-D435-B496-0E77-28151E11F7AC,1654D688-9A50-18B6-18FA-72DECDCCCC1F,1599256307080,69640,-32
